BuiltMolecule,bond_lenght,bond_Angle,DFT-b3lyp,NN-Functional.DM21m
cc-pVDZ,0.98,105,-76.38308023,
cc-pVDZ,0.98,106,-76.38291991,
cc-pVDZ,1,102,-76.38187165,
cc-pVDZ,1,103,-76.3818184,
cc-pVDZ,1,104,-76.38171575,
cc-pVDZ,1,105,-76.38156462,
cc-pVDZ,1,106,-76.38136596,
cc-pVDZ,1.02,102,-76.37930217,
cc-pVDZ,1.02,103,-76.37921088,
cc-pVDZ,1.02,104,-76.37907105,
cc-pVDZ,1.02,105,-76.37888358,
cc-pVDZ,1.02,106,-76.37864938,
cc-pVDZ,1.04,102,-76.37571974,
cc-pVDZ,1.04,103,-76.37559325,
cc-pVDZ,1.04,104,-76.3754191,
cc-pVDZ,1.04,105,-76.37519815,
cc-pVDZ,1.04,106,-76.37493125,
cc-pVDZ,1.06,102,-76.37126612,
cc-pVDZ,1.06,103,-76.3711073,
cc-pVDZ,1.06,104,-76.3709017,
cc-pVDZ,1.06,105,-76.37065013,
cc-pVDZ,1.06,106,-76.37035341,
cc-pVDZ,1.08,102,-76.3660661,
cc-pVDZ,1.08,103,-76.36587783,
cc-pVDZ,1.08,104,-76.36564365,
cc-pVDZ,1.08,105,-76.36536432,
cc-pVDZ,1.08,106,-76.36504059,
cc-pVDZ,1.1,102,-76.36022939,
cc-pVDZ,1.1,103,-76.36001452,
cc-pVDZ,1.1,104,-76.35975458,
cc-pVDZ,1.1,105,-76.35945026,
cc-pVDZ,1.1,106,-76.35910227,
cc-pVDZ,1.12,102,-76.35385239,
cc-pVDZ,1.12,103,-76.35361367,
cc-pVDZ,1.12,104,-76.35333068,
cc-pVDZ,1.12,105,-76.35300406,
cc-pVDZ,1.12,106,-76.35263446,
cc-pVDZ,1.14,102,-76.34701973,
cc-pVDZ,1.14,103,-76.34675976,
cc-pVDZ,1.14,104,-76.34645631,
cc-pVDZ,1.14,105,-76.34610994,
cc-pVDZ,1.14,106,-76.34572124,
cc-pVDZ,1.16,102,-76.33980562,
cc-pVDZ,1.16,103,-76.33952688,
cc-pVDZ,1.16,104,-76.3392054,
cc-pVDZ,1.16,105,-76.33884169,
cc-pVDZ,1.16,106,-76.33843628,
cc-pVDZ,1.18,102,-76.33227515,
cc-pVDZ,1.18,103,-76.33197995,
cc-pVDZ,1.18,104,-76.33164274,
cc-pVDZ,1.18,105,-76.33126397,
cc-pVDZ,1.18,106,-76.33084409,
cc-pVDZ,1.2,102,-76.32448532,
cc-pVDZ,1.2,103,-76.32417586,
cc-pVDZ,1.2,104,-76.32382507,
cc-pVDZ,1.2,105,-76.32343335,
cc-pVDZ,1.2,106,-76.32300109,
cc-pVDZ,1.22,102,-76.31648612,
cc-pVDZ,1.22,103,-76.3161644,
cc-pVDZ,1.22,104,-76.31580201,
cc-pVDZ,1.22,105,-76.3153993,
cc-pVDZ,1.22,106,-76.31495662,
cc-pVDZ,1.24,102,-76.30832128,
cc-pVDZ,1.24,103,-76.30798914,
cc-pVDZ,1.24,104,-76.30761699,
cc-pVDZ,1.24,105,-76.30720512,
cc-pVDZ,1.24,106,-76.30675382,
cc-pVDZ,1.26,102,-76.30002912,
cc-pVDZ,1.26,103,-76.29968826,
cc-pVDZ,1.26,104,-76.29930802,
cc-pVDZ,1.26,105,-76.29888865,
cc-pVDZ,1.26,106,-76.2984304,
cc-pVDZ,1.28,102,-76.29164319,
cc-pVDZ,1.28,103,-76.29129517,
cc-pVDZ,1.28,104,-76.29090839,
cc-pVDZ,1.28,105,-76.29048307,
cc-pVDZ,1.28,106,-76.29001941,
cc-pVDZ,0.8,95,-76.29831143,
cc-pVDZ,0.8,96,-76.29918559,
cc-pVDZ,0.8,97,-76.29999477,
cc-pVDZ,0.8,98,-76.30074025,
cc-pVDZ,0.8,99,-76.3014233,
cc-pVDZ,0.8,100,-76.30204517,
cc-pVDZ,0.8,101,-76.30260706,
cc-pVDZ,0.8,102,-76.30311016,
cc-pVDZ,0.8,103,-76.30355566,
cc-pVDZ,0.8,104,-76.30394471,
cc-pVDZ,0.8,105,-76.30427849,
cc-pVDZ,0.8,106,-76.30455815,
cc-pVDZ,0.8,107,-76.30478487,
cc-pVDZ,0.8,108,-76.30495981,
cc-pVDZ,0.8,109,-76.30508417,
cc-pVDZ,0.8,110,-76.30515913,
cc-pVDZ,0.8,111,-76.30518593,
cc-pVDZ,0.8,112,-76.30516579,
cc-pVDZ,0.8,113,-76.30509998,
cc-pVDZ,0.82,95,-76.31985048,
cc-pVDZ,0.82,96,-76.32066299,
cc-pVDZ,0.82,97,-76.32141153,
cc-pVDZ,0.82,98,-76.32209732,
cc-pVDZ,0.82,99,-76.32272155,
cc-pVDZ,0.82,100,-76.32328539,
cc-pVDZ,0.82,101,-76.32379,
cc-pVDZ,0.82,102,-76.32423651,
cc-pVDZ,0.82,103,-76.32462606,
cc-pVDZ,0.82,104,-76.32495977,
cc-pVDZ,0.82,105,-76.32523877,
cc-pVDZ,0.82,106,-76.3254642,
cc-pVDZ,0.82,107,-76.3256372,
cc-pVDZ,0.82,108,-76.32575892,
cc-pVDZ,0.82,109,-76.32583051,
cc-pVDZ,0.82,110,-76.32585318,
cc-pVDZ,0.82,111,-76.32582811,
cc-pVDZ,0.82,112,-76.32575655,
cc-pVDZ,0.82,113,-76.32563974,
cc-pVDZ,0.84,95,-76.33734452,
cc-pVDZ,0.84,96,-76.33809631,
cc-pVDZ,0.84,97,-76.33878509,
cc-pVDZ,0.84,98,-76.339412,
cc-pVDZ,0.84,99,-76.33997819,
cc-pVDZ,0.84,100,-76.34048476,
cc-pVDZ,0.84,101,-76.34093282,
cc-pVDZ,0.84,102,-76.34132345,
cc-pVDZ,0.84,103,-76.34165776,
cc-pVDZ,0.84,104,-76.34193684,
cc-pVDZ,0.84,105,-76.34216177,
cc-pVDZ,0.84,106,-76.34233366,
cc-pVDZ,0.84,107,-76.34245365,
cc-pVDZ,0.84,108,-76.34252285,
cc-pVDZ,0.84,109,-76.34254242,
cc-pVDZ,0.84,110,-76.34251354,
cc-pVDZ,0.84,111,-76.3424374,
cc-pVDZ,0.84,112,-76.34231524,
cc-pVDZ,0.84,113,-76.3421483,
cc-pVDZ,0.86,95,-76.35129508,
cc-pVDZ,0.86,96,-76.35198718,
cc-pVDZ,0.86,97,-76.3526172,
cc-pVDZ,0.86,98,-76.35318622,
cc-pVDZ,0.86,99,-76.35369531,
cc-pVDZ,0.86,100,-76.35414554,
cc-pVDZ,0.86,101,-76.35453797,
cc-pVDZ,0.86,102,-76.35487365,
cc-pVDZ,0.86,103,-76.35515365,
cc-pVDZ,0.86,104,-76.355379,
cc-pVDZ,0.86,105,-76.3555508,
cc-pVDZ,0.86,106,-76.35567012,
